category,serial,title,composer,arranger,lyrics,translator,language,voicing,with_boys,accompanied,instruments,music_present,original_piece,recording_link,comments
ד,16,בת הרוח אל תפוחי,Aulis Sallinen,,אנונימי,עדה ברודסקי,עיברית / פינית,SA,FALSE,None,,TRUE,FALSE,,
ד,17,אל נא תריעו לים,Aulis Sallinen,,אנונימי,עדה ברודסקי,עיברית / פינית,SSAA,FALSE,None,,TRUE,FALSE,,
ד,18,בלדה,Aulis Sallinen,,אנונימי,עדה ברודסקי,עיברית / פינית,SSA + solo,FALSE,None,,TRUE,FALSE,,
ד,19,michelle,"John Lennon, Paul McCartney",Harry Dexter,"John Lennon, Paul McCartney",,אנגלית,SSA,FALSE,None,,TRUE,FALSE,,
ד,20,nocturne,Evert Taube,Sigvald tveit,Evert Taube,,שוודית,SAB,TRUE,Obligato,פסנתר,TRUE,FALSE,,
ד,21,visa fran Utanmyra,אנונימי,Carl Bertil Agnestig,Olof von Dalin,,שוודית,SSA,FALSE,None,,TRUE,FALSE,,
ד,22,Burro Matti ,אנונימי,Akos Papp,אנונימי,,לאפית?,SSA,FALSE,None,,TRUE,FALSE,,המקור הוא יוייק (שירה עממית) מאזור לפלנד. העיבוד שמבצעת טפיולה
ד,23,,,,,,,,,,,,,,
ד,24,Da eine Burg uberm Tale,Gerd Ochs,,Joseph Freiherr von Eichendorff,,גרמנית,Unison,FALSE,Optional,כלי הרמוני,TRUE,FALSE,,
ד,25,Dana Dana,,,,,,,,,,,,,
ד,26,Every time I feel the spirit,אנונימי,ו. ל. דאוסון,אנונימי,,,SATB,TRUE,,,,,,
ד,27,Jimmie's got a goil ,Vincent Persichetti,,Edward Estlin Cummings,,אנגלית,SA / TB,TRUE,Obligato,פסנתר,TRUE,FALSE,,
ד,28,scarborough fair / canticle,"אנונימי, Paul Simon,  Art Garfunkel",שמעון סמית,"אנונימי, Art Garfunkel",,אנגלית,SAB,TRUE,None,,TRUE,FALSE,,"בגלל שהגרסא הזאת צמודה מאוד לסיימון וגרפנקל, אולי היא צריכה לעבור ל-ה, כי המקור שלה הוא לא עממי"
ד,29,joshua fit the battle of jericho,אנונימי,Pierre-Gerard Verny,אנונימי,,אנגלית,SATB,TRUE,None,,TRUE,FALSE,,
ד,30,Deep River,אנונימי,Harry Thacker Burleigh,אנונימי,,אנגלית,SATB,TRUE,Optional,פסנתר,TRUE,FALSE,,
ד,31,Resteknek Notaja,Bela Bartok,,אנונימי,,הונגרית,SSA,FALSE,None,,TRUE,FALSE,,
ד,32,Bolyongas,Bela Bartok,,אנונימי,,הונגרית,SSA,FALSE,None,,TRUE,FALSE,,
ד,33,Uj ezstendot,,,,,,,,,,FALSE,FALSE,,
ד,34,ti muchis tinda soo kama,אנונימי,אנונימי,אנונימי,,יוונית,SATB,TRUE,None,,TRUE,FALSE,,
